Frase,Groundtruth,Predicción
 It is the first ERE that a category hotel like don Carlos de Marbella has put on the table.,1,1
 Muchísimas gracias.,0,0
 And the government also said it was going to meet with the presidents of the autonomous communities after the elections.,1,1
" Nous devons nous dire la vérité, évidemment.",0,0
" Now all countries, because of the ravages of coronavirus are lowering taxes either momentarily, or more damaged sectors",1,1
 Iglesias is vice president because Sanchez has wanted to do so.,0,0
 Good morning.,0,0
" Si lo hubieran hecho razonablemente podemos prever que hubieran sobrevivido al siniestro, el horario, el horario de los siniestros.",0,0
 La Communauté autonome d’Aragon a écrit et demandé aux municipalités de faire des prévisions pour les semaines à venir par rapport aux campagnes.,1,1
" El Plan Especial de Seguridad para el Campo de Gibraltar, como dicho, nació mediante una instrucción del 24 de julio de 2018",1,1
" It is true that if one enters the detail of each of the games, he comes up with a thousand things.",0,0
" Cuanto más transversal sea el acuerdo, como todo en la vida mucho, mucho mejor.",0,0
" Nous avons déjà vu au plus fort de la pandémie, car elle a même refusé l’aide de l’IME, car elle commandait le démantèlement des hôpitaux, simplement parce qu’ils avaient été montés par la Garde civile ou montés par l’armée quand il n’y avait pas de lits dans les hôpitaux, quand les gens mouraient chez eux, a pu refuser cette aide et à ce jour, il n’était toujours pas demander l’aide nécessaire.",1,1
 Any reference to a regrowth or regrowth related to irregular immigration actually,1,1
" Finally, this broad agreement has been reached in the health bloc in the European bloc and in the economic revival bloc.",1,1
" Cuando nosotros llevamos ya tres meses diciendo que para luchar contra el desempleo hay que tomar medidas como otros países europeos, por ejemplo, bajar impuestos, como ha hecho Alemania, Italia por no hablar ya los Estados Unidos, por ejemplo extenderlo más allá de diciembre a los sectores más afectados que aún no se van a recuperar o por ejemplo, eliminar trabas burocráticas reducir costes laborales.",1,1
" Dans les jours suivants, un milliard d’euros au ministère de la Santé, précisément pour compléter l’achat d’epis en dehors de l’Espagne en raison de la non-industrie à l’intérieur, heureusement nous l’avons.",1,1
 En ce qui concerne le nombre d’infections qu’il ya des jours que le gouvernement ne donne plus le nombre de contagions ou le nombre d’épidémies et où ces flambées sont situées.,1,1
Se ha aumentado la plantilla en estos dos años,1,1
 On y est.,0,0
" Bueno, señalaba antes que España, la Costa del Sol, hemos recuperado.",0,0
 Voyons qu’il y a eu un lien entre les flambées des quatre comtés d’Aragon et de la région.,1,1
" Cayetana, ésta será siempre tu casa y puedes contar conmigo para lo que quieras.",0,0
" Et là, nous avons déjà vu une première baisse au premier trimestre le nombre d’heures travaillées autour de 3 pour cent en Europe et nous pensons que nos projections de projection qui serait entre 10 et 15 pour cent au deuxième trimestre de cette année.",1,1
" Pero la pequeña y mediana empresa necesita apoyo y lo que no necesita es más cargas, más cargas fiscales.",0,0
" Je ne parlerai pas en termes d’ancienne nouvelle politique, comme l’ont fait les nouveaux partis qui sont également tombés dans certaines des utilisations.",0,1
" And it is precisely the town halls and local councils that could spend part of their remnants of treasury, for example, what we are talking about in care policy.",0,1
 Nous voulons être utiles aux Espagnols.,0,0
" Por ejemplo, ahora mismo hay 270 mil personas en España que tienen reconocida la prestación, pero que no reciben los recursos comprometidos.",1,1
 The governance pact with Unidos Podemos includes that repeal of the most harmful aspects of labour reform?,0,0
" Nous demandons donc depuis longtemps de rouvrir l’économie et de rouvrir le tourisme, mais nous devons le faire en toute sécurité.",0,0
. The best thing that's the best I can.,0,0
 C’est le début de plus d’initiatives telles que le retrait du titre de roi à Don Juan Carlos d’abord.,0,1
" Well, now let's see how all this looks, but in proportion and before the Convit, in that share of GDP we had surpassed France, Italy or the United Kingdom.",1,1
 Les contagions du coronavirus en Espagne 257 sont presque déclenchées dans les dernières 24 heures selon les données officielles du ministère de la Santé.,1,1
" For ten years vote the pension freeze, as happened in May 2010, cut the salaries of civil servants here in Alava is also of great concern, as Sanchez did in 2010, in another crisis that denied Zapatero with high-end green outbreaks of success, etc.",1,1
" In other words, Spain is interested in a real closure of such a plant.",0,0
" Quiero recordarle, además también que en relación con estas informaciones su Majestad el rey Felipe sexto ya en su día renunció a la herencia que pudiera tener de los fondos privados o particulares del Rey emérito y se desvinculó o desvinculó por completo al Rey emérito de cualquier tipo de función representativa del Reino de España.",1,1
" Ils ont également commencé à réduire la santé publique, l’éducation publique, menacé les réformes qui ont ensuite cristallisé les réformes des retraites, les sauvetages bancaires.",1,1
" Changer le sujet, prochaines élections de dimanche en Galice.",1,1
 Et la question est qu’il a quelque chose à voir avec la présence de unis. Pouvons-nous à l’Exécutif où la réponse à la dimension sociale et économique de la crise a été ce qu’elle est?,0,0
 Les drapeaux de qualité que le lundi nous avons eu l’occasion de donner un an de plus à Torremolinos pour son excellence dans le développement de ce modèle touristique.,1,0
 C’est un pays que nous avons la présomption d’innocence.,0,0
 Le ministre.,0,0
 Cela signifie que la capacité d’anticipation du système aujourd’hui est beaucoup plus puissante qu’il y a quelques semaines.,0,1
" En fait, nous voyons également que la société espagnole qui a un test rapide avec une fiabilité énorme, pratiquement 98 pour cent.",1,1
" Europe is 6.9% of the world's population, falling below 7% of GDP and is more than 50% of social spending.",1,1
 A nosotros sí.,0,0
" Vuelvo a decir, esto ha implicado aproximadamente una incautación mensual de 13000 kilogramos de 13 toneladas de droga mensualmente.",1,1
" Et en ce sens, j’annonce que nous avons présenté une proposition non-loi au Congrès des députés, dans laquelle nous sommes dans le gouvernement de l’Espagne pour promouvoir un groupe de travail national pour connaître le nombre réel de décès par le virus Coron.",1,1
" Five new judicial bodies have been established, both in Algeciras and La Línea and in San Roque, and also a square in the section that is located here.",1,1
" Hemos puesto de manifiesto también ese caos que existe en nuestro ordenamiento jurídico en relación con deducciones y bonificaciones tributarias, más de seiscientas deducciones y bonificaciones tributarias respecto de las cuales ni siquiera se ha hecho un seguimiento de que sigan siendo eficaces después de estar establecidas en el ordenamiento tributario desde hace años.",1,1
" Nosotros íbamos a hemos presentado a nuestra vicepresidenta económica Nadia Calviño, para un puesto muy importante que era la presidencia del Eurogrupo, necesitábamos diez votos de los 19 votos de los integrantes de los países integrantes de la zona euro y desgraciadamente nos hemos quedado nueve.",1,1
 Why don't you just explain what happened to your worthy adviser's card?,0,0
 Es verdad que la economía mundial crecía al 4 por ciento.,1,1
 Nosotros nos sentimos muy cómodos con una discusión de condiciones en las que hablemos de cuáles van a ser las prioridades sobre las que se va a gastar esta financiación.,0,0
 They are formulating complicated hypotheses of course.,0,0
" Subimos el salario mínimo interprofesional con diálogo social, con diálogo social a 950 euros al mes.",1,1
 La justicia ha tenido.,0,0
" Ensuite, il a été dit qu’avec les lois que nous avions à l’heure actuelle, la loi générale sur la santé et la Loi sur la santé publique était plus que suffisante et a été critiqué encore et encore au Congrès des députés.",1,1
 That is to say that when the President of the Government says that he will end the forces in 2018 we are in 2020 and we continue with all the efforts and the People's Party and Socialist Party have always hindered all our efforts in this regard to end the efforts.,1,1
" Cómo cree usted que está reaccionando el Gobierno no solo esta semana sino en las precedentes, por ejemplo de un mes a esta parte teniendo como tenemos ya más de 1100 brotes y ayer mismo 7000 nuevos positivos?",0,0
 Une autre de nos préoccupations depuis que nous sommes au gouvernement a vu que 43 p. 100 des personnes décédées étaient des personnes vulnérables.,1,1
" They have been victims of this situation, but in turn they have been a focus of contagion and monitoring these workers has been very complicated.",1,1
 C’est pour ça.,0,0
 Bonjour.,0,0
 C’est donc pleinement dans leurs droits fondamentaux à la liberté ambulatoire.,1,0
" En ce moment, nous garantissons 1 milliard d’euros à ces entreprises pour se soutenir, afin que le tissu productif afin qu’il soit si nécessaire pour redresser l’économie reste.",1,1
 Antes de que existiera esa comisión le pedimos al Gobierno una intervención en la que apele directamente a nuestra economía en la que le ponía como ejemplo,1,1
" En el caso del Partido Popular más ciudadanos mantuvimos los diputados en Vizcaya, perdimos alguno en Álava y uno en Guipúzcoa, pero creo que conseguimos un buen resultado con un gran candidato de la coalición y con un trabajo por cierto entre las dos formaciones políticas, muy activo muy intenso durante la campaña vasca.",1,1
" Tampoco ha hablado sobre las comisiones cobradas por la compra por familiares suyos, por la compra de la sede de Podemos.",1,1
" A measure, which was the result of social dialogue, has been extended until 30 September to facilitate the gradual recovery, as I said of tourism activity at the moment.",1,1
 Je pense que dans cette affaire.,0,0
 Ustedes insisten en lo de la candidatura conjunta con el PP.,0,0
 Un demi-million d’emplois ont été créés chaque année.,1,1
 How is it going?,0,0
 C’est juste un pays démocratique.,0,0
 And now unfortunately in this second wave we are the worst-behaved country in all of Europe.,1,1
" Buenos días, recetaba ayer el gran triunfador de estas elecciones gallegas Alberto Núñez Feijóo en el Comité Ejecutivo Nacional.",0,1
" L’autorité sanitaire, qui doit moduler et réglementer tout ce qui nous touche tous en matière de santé publique, est le ministère de la Santé et est ministre de la Santé et c’est donc à lui de lui de le faire.",1,1
" Je voudrais vous poser des questions sur la confiance, mais d’abord Alberto Fernández nous allons examiner quels sont les pays qui ont imposé des restrictions ou qui ont imposé des mesures pour tous les touristes qui restent dans notre pays et retournent dans leur pays d’origine.",0,0
 We have had permanent inspectors from the World Health Organization.,1,1
 From 1 3 pardons to 2 with 6 commas three more points then 3 billion more than you had already presented as a socialist government.,1,1
" Cayetana, this will always be your home and you can count on me for whatever you want.",0,0
" Et, soit dit en passant, plus de 500000 opérations par l’intermédiaire de l’OIC.",1,1
" The first is tax reform, tax reform, as countries around us are doing France, Germany, Italy even with a socialist government supported by radical left-wing parties and of course, across the Atlantic, as countries like the United States or outside the European Union of the United Kingdom",1,1
 There are many Spaniards who still don't charge ERTES today,1,1
" En ce sens, le travail du bureau de la délégation que le Bureau de la récupération et de la gestion des biens que nous avons dans ce même bâtiment est situé après les travaux qu’ils développent.",0,0
", evolution We seek as a country a simple tool, precise carving proven and reliable for public administrations, for the different actors of the real estate market and all citizens can know in detail the prices of rent.",0,0
" Elles seront stratégiques pour redresser l’économie, passant de bons emplois, de la politique sociale à la consolidation.",0,0
" And we, as in other European countries like Germany or Italy, or as major world powers like the United States, want taxes lowered.",1,1
", or do you think that Rajoy, who Feijó after so many years is interested in being four more years president of Galicia?",0,0
" Es la propuesta del Partido Socialista y es uno de los cuatro magistrados cuyo mandato había concluido y estaba pendiente de renovación, salvaguardando el principio de la presunción de inocencia.",1,1
 We find the vice president appear playing the victim.,0,0
 Ce minuit conclut la date limite pour convoquer des élections anticipées en Catalogne le 4 octobre.,1,1
" Je voulais savoir si, dans l’un ou l’autre de ces cas, plus que l’an dernier avait passé, par exemple, 30 radars de plus et 300 gardes civils au cours de l’opération estivale.",1,1
 Ce ne serait pas né cessaire.,0,0
 Un partenaire industriel.,0,0
 Las organizaciones agrarias han hecho sus cálculos y han llegado a la conclusión de que cuando se acaba el periodo en 2027 se habrá perdido hasta un 10 un 12 por ciento de las ayudas que veníamos recibiendo.,1,1
 A mí lo que me preocupa es el quebranto que puede sufrir España y los españoles si no sabemos afrontar adecuadamente los tiempos económicos y sociales.,0,0
 Je pense qu’ils ont très bien fait et ce sont eux qui ont mis 100 milliards sur la table.,1,1
" Y bueno, pues hay un dato, pues nada más y nada menos que 35 mil hectáreas que corresponden a la provincia de Burgos, que en este ranking ha sido la más afectada hasta ahora con esas tormentas de pedrisco.",1,1
 The Deputy Citizens spokesman in Congress Thank you for answering the call from public radio this morning.,1,0
" We will convene you by means of a letter that we will issue today, proposing a meeting on Wednesday to end these corruptions, with these corruption practices.",0,0
 We are going to reinforce this a lot some specific projects in industrial sectors that have had a particular impact on the Cobi.,0,0
" Il y a déjà sept millions d’Espagnols qui veulent travailler, mais ils ne peuvent pas.",1,1
" Y para nosotros lo que se está aprovechando, no en este momento sólo de la reconstrucción, sino desde el inicio.",0,0
" En síntesis, estas eran las cuestiones que quería sacar a colación y por supuesto me pongo a su entera disposición para contestar las preguntas que tengan a bien diarias o.",0,0
" Charles a dit cela et doit également être dit avec toute la force, personne et personne n’est personne, est au-dessus de la loi, de sorte que le roi Jean est dans un destin.",0,0
"Un gouvernement qui, un mois avant d’avoir le premier cas de coronavirus, avait déjà une commission de suivi.",1,1
 Because you know that this weekend for example there has been a voluntary closure from Friday to Sunday in protest at those measures you have taken.,1,1
 I appreciate you not saying so before.,0,0
 Bien au contraire.,0,0
 Europe partially reopens external borders.,0,1
" Por qué interviene el Gobierno para ayudar al Jefe del Estado a irse o a huir de España, etcétera etcétera.",0,0
 Y ya digo que hay comunidades autónomas que roza incluso casi el 40 por ciento la incidencia del sector turístico en su PIB y en su economía.,1,1
" Una red tupida de protección social a los trabajadores a los empresarios, a los trabajadores autónomos, a aquellos colectivos que han devenido vulnerables como consecuencia de la crisis del comida en su vertiente económica y sanitaria.",0,0
" I think that in these times of pandemic, if anything has become clear, I also insist that sometimes we do not talk about what we have.",0,0
 Ministro muy buenos días.,0,0
" Hé, si vous voulez l’unité, voici le gouvernement et vous voulez la fissuration et la provocation.",0,0
" I cannot imagine that it can represent a climate emergency, so we have to mobilize economic resources to make an ecological transition of our economy, an ecological transition that is fair, that leaves no one behind, but we have to do it above all and above all for our children and for our grandchildren.",0,0
" I would like to ask you about trust, but first Alberto Fernández we will review what are those countries that have imposed restrictions or that have imposed measures for all those tourists who remain in our country and return to their countries of origin.",0,1
" To modernize your production model, to protect the sectors of the most vulnerable population.",0,0
 En ese punto.,0,0
"<span style=""letter-spacing: 0.14994px;"">Estamos en una pandemia, no?</span>Y por tanto actúa la Ley de Salud Pública ante una pandemia",1,1
 Varios países europeos y de fuera de la Unión Europea afirman sus responsables que los gobiernos nos están imponiendo porque no tienen la información para evaluar el riesgo.,1,1
 Sounds like a satisfying agreement to me.,0,0
" As you can definitely see, the data already consolidated have been 215 deaths and 899 serious injuries.",1,1
 Hay países que tienen datos sustancialmente peores que los nuestros de nuestro Sistema Nacional de salud.,0,1
" Le 14 ou le 13 ou on ne le voulait pas, nous allons ces derniers jours prendre des mesures qui, soit dit en passant, des mesures déjà mises en œuvre et qui avaient déjà lancé les communautés autonomes comme par exemple en Galice sur le thème du tabac.",1,1
" Changing the subject, next Sunday elections in Galicia.",1,1
